,reaction_expression
MAR03905,389.36404194999994
MAR03907,44.27828242
MAR04097,43.10914871
MAR04099,60.24227193
MAR04108,43.10914871
MAR04133,43.10914871
MAR04281_f,66.87444866
MAR04388_f,252.61791091
MAR04283,205.19359593
MAR08357,243.24358421
MAR04379,174.11589601
MAR04301,174.11589601
MAR04355,125.20359264999999
MAR04358,49.379956840000006
MAR04360,38.00747431
MAR04363_f,79.18223814000001
MAR04365_f,157.15282864
MAR04368_f,129.54001593
MAR04370,100.21389089
MAR04371,157.15282864
MAR04372,100.21389089
MAR04373_f,78.28944512999999
MAR04375_f,144.37738561999998
MAR04377,85.66561602
MAR04381_f,47.21174521
MAR04391_f,51.97330799
MAR04394,188.35807038
MAR04396_f,126.94666476
MAR04521,130.90046243
MAR06412,20.61926738
MAR07745_f,26.27362318
MAR07747,41.66367429
MAR08360,54.84299984
MAR08652,130.90046243
MAR08757,56.07590448
MAR03989,125.24610661999999
MAR04122,43.34297547
MAR04837,51.99456496
MAR05395,114.93647292
MAR05396,203.89692034
MAR09727,256.08279809
MAR05397,50.12395102
MAR05398,109.5797148
MAR05399,24.12666854
MAR05400,24.12666854
MAR05401,109.5797148
MAR08568,175.93336752
MAR08569,175.93336752
MAR08570,175.93336752
MAR08571,175.93336752
MAR08572,175.93336752
MAR08573,175.93336752
MAR08574,175.93336752
MAR08575,175.93336752
MAR08576,175.93336752
MAR08577,175.93336752
MAR08578,175.93336752
MAR08579,175.93336752
MAR08581,175.93336752
MAR08591,62.07037191
MAR08592,50.61286149
MAR08580,175.93336752
MAR08582,175.93336752
MAR08587,62.07037191
MAR08589,50.61286149
MAR08583,30.56753246
MAR08584,33.45848131
MAR08585,53.73763706
MAR03944,25.27454528
MAR04128_f,32.73574408
MAR04130,89.87449744
MAR04131_f,53.86517892
MAR04132,53.86517892
MAR04303,146.14171471
MAR04414,123.41800665
MAR04415,18.13220111
MAR04416,100.99189621
MAR04774_f,174.11589601
MAR04775_f,174.11589601
MAR04831_f,-1.0
MAR04832_f,18.13220111
MAR07674,188.44309831
MAR08761,26.86881852
MAR08762_f,144.37738561999998
MAR08764,30.29119177
MAR08766_f,66.17296843
MAR08767,53.86517892
MAR00454,-1.0
MAR04297,198.9440448
MAR04310,26.86881852
MAR04315_f,38.62392664
MAR04316_f,66.17296843
MAR04317,220.15850749
MAR04318,220.15850749
MAR04319,134.57791938
MAR04320,220.15850749
MAR04356,144.37738561999998
MAR04383_f,53.99272078
MAR04385,153.36908680000002
MAR04386,108.36806713
MAR04387,32.20431968
MAR04399,51.76073823
MAR04400,-1.0
MAR04401,28.80320341
MAR04402_f,-1.0
MAR04403,-1.0
MAR04490,134.57791938
MAR04706,198.9440448
MAR08768,-1.0
MAR04590,48.10453823
MAR04591,96.50667415999999
MAR04592_f,66.17296843
MAR04593,38.62392664
MAR04594,52.9723859
MAR04595_f,20.98063599
MAR08341,134.15277986
MAR08342_f,-1.0
MAR08344_f,44.27828242
MAR08352_f,48.72099056
MAR08353_f,-1.0
MAR08726,40.7496243
MAR08727,71.76355328
MAR08728,-1.0
MAR08729,34.2875034
MAR06537_f,44.27828242
MAR01568,205.19359593
MAR03853,78.65081375
MAR03854,66.17296843
MAR03855,66.17296843
MAR03857,96.86804273999999
MAR03859,59.90216029
MAR04087,60.85872424
MAR04089,116.10560665
MAR04091,60.85872424
MAR04093,34.54258712
MAR04095,34.54258712
MAR04101,43.13040568
MAR04103,35.562922
MAR04143,68.80883352
MAR04193,49.379956840000006
MAR08497,134.15277986
MAR08498,56.07590448
MAR08499,56.07590448
MAR08500,134.15277986
MAR08501,43.3004615
MAR08502_f,351.35656764
MAR08503,362.32516758
MAR08504,243.24358421
MAR08506,243.24358421
MAR08507,389.36404194999994
MAR08508,389.36404194999994
MAR08509,134.15277986
MAR08511,96.86804273999999
MAR08512_f,33.94739176
MAR08514,59.90216029
MAR08516,43.72560105
MAR08517,-1.0
MAR04280_f,72.25246375
MAR00153,103.35142064
MAR03212,350.52754552
MAR03797,103.35142064
MAR03800,24.46678016
MAR04105,31.26901269
MAR04106,31.26901269
MAR04107,31.26901269
MAR04282,65.30143237
MAR04331_f,103.35142064
MAR04459,103.35142064
MAR04460,103.35142064
MAR04464,-1.0
MAR04497,41.23853477
MAR04741,46.40398011
MAR08078,-1.0
MAR09803_f,-1.0
MAR09804_f,1296.1994213200003
MAR00718,41.45110453
MAR00719,49.84761033
MAR01434_f,69.34025793
MAR01436,32.31060457
MAR03163,350.52754552
MAR04461_f,98.80242761
MAR04604,76.24877537
MAR05351_f,216.5235645
MAR07709_f,42.68400917
MAR04052,142.5705426
MAR04304,53.07867077
MAR04350_f,40.7496243
MAR04351_f,75.01587071
MAR04352_f,75.01587071
MAR04354_f,54.20529054
MAR04398_f,86.30332533
MAR04404_f,207.55312035
MAR04473,34.9252127
MAR04474,34.9252127
MAR04476_f,52.31341961
MAR04477_f,69.12768818
MAR04501_f,207.55312035
MAR04565_f,65.47148819
MAR04567,174.11589601
MAR09799_f,59.94467425
MAR09800_f,26.86881852
MAR04623,39.4742057
MAR04625,37.5610778
MAR04710_f,54.20529054
MAR04841_f,205.19359593
MAR08074,40.7496243
MAR08653_f,77.03528349999999
MAR03998,337.81587345
MAR04000,793.28911282
MAR04002_f,461.80781847000003
MAR04004_f,461.80781847000003
MAR04010,369.02111521
MAR04081,369.02111521
MAR04082,369.02111521
MAR04012,81.07410909000001
MAR04014,1275.65242769
MAR04020_f,45.38364523
MAR04022,793.28911282
MAR04038_f,11.98893485
MAR04040,77.54545094
MAR04042,-1.0
MAR04046,39.17660802
MAR04048,1275.65242769
MAR04080,147.0557647
MAR04085,49.25241497
MAR04086,49.25241497
MAR04134,337.81587345
MAR04135_f,45.38364523
MAR04168,38.07124524
MAR04171,49.379956840000006
MAR04290,115.36161244
MAR04406,47.82819754
MAR04412_f,79.11846722
MAR04417,369.02111521
MAR04418,37.15719525
MAR04419,155.81363909
MAR04421,49.379956840000006
MAR04449,369.02111521
MAR04450,369.02111521
MAR04451,-1.0
MAR04452,37.15719525
MAR04453,39.17660802
MAR04480_f,584.88571346
MAR04481,47.57311382
MAR04482,47.57311382
MAR04486,134.57791938
MAR04487,134.57791938
MAR04488,134.57791938
MAR04489,134.57791938
MAR04492,134.57791938
MAR04493,134.57791938
MAR04495,134.57791938
MAR04496,134.57791938
MAR04518,61.83654518
MAR04519,81.09536606
MAR04520,81.09536606
MAR04573,49.379956840000006
MAR04574_f,29.50468365
MAR04600,34.54258712
MAR04602,369.02111521
MAR04603_f,29.50468365
MAR04611,31.24775572
MAR04612,31.24775572
MAR04614,31.24775572
MAR04615,31.24775572
MAR04617,31.24775572
MAR04618,31.24775572
MAR04619,31.24775572
MAR04621,31.24775572
MAR04632,369.02111521
MAR04646,81.09536606
MAR04648,81.09536606
MAR04649,81.09536606
MAR04650,81.09536606
MAR04651_f,29.50468365
MAR04663_f,29.50468365
MAR04664,37.15719525
MAR04694,47.57311382
MAR04695_f,29.50468365
MAR04705,369.02111521
MAR04709_f,29.50468365
MAR04799,39.51671966
MAR04802,39.51671966
MAR04804_f,25.84848364
MAR04808,27.84663946
MAR04810,25.84848364
MAR04812_f,79.11846722
MAR04814_f,11.98893485
MAR05301,124.50211245
MAR05353_f,45.38364523
MAR06601,46.65906383
MAR06602_f,124.86348103
MAR06603_f,124.86348103
MAR06605_f,-1.0
MAR06606_f,-1.0
MAR06607_f,-1.0
MAR06609_f,-1.0
MAR06610,-1.0
MAR06611_f,-1.0
MAR07144,128.11579847000002
MAR08755,81.09536606
MAR09797,-1.0
MAR04016_f,225.79160633
MAR04018_f,225.79160633
MAR04044_f,225.79160633
MAR04291_f,225.79160633
MAR04420,225.79160633
MAR04570_f,225.79160633
MAR04572,225.79160633
MAR04006_f,225.79160633
MAR04028_f,225.79160633
MAR04030_f,225.79160633
MAR04670_f,225.79160633
MAR04673_f,225.79160633
MAR04675,225.79160633
MAR06614_f,225.79160633
MAR06615_f,225.79160633
MAR06616_f,225.79160633
MAR04635_f,225.79160633
MAR03793_f,44.78844986
MAR03931,92.04270905
MAR03969,69.87168236
MAR03970,330.50347346
MAR04008_f,56.92618357
MAR04032,123.60931944
MAR04034,36.9233685
MAR04036,36.66828478
MAR04050_f,36.9233685
MAR04056,369.02111521
MAR04059,337.81587345
MAR04060,337.81587345
MAR04127,82.71089628
MAR04177,369.02111521
MAR04179,369.02111521
MAR04182,220.15850749
MAR04183,115.36161244
MAR04192,115.36161244
MAR04194,123.60931944
MAR04210,49.379956840000006
MAR04211,38.07124524
MAR04343,29.52594061
MAR04345_f,40.51579755
MAR04346,96.46416020000001
MAR04470,40.51579755
MAR04471,40.51579755
MAR04472,40.51579755
MAR04484,369.02111521
MAR04485_f,79.56486374
MAR04510,369.02111521
MAR04512_f,56.92618357
MAR04513,54.94928474
MAR04514,95.8264509
MAR04577,36.66828478
MAR04579_f,89.64067066
MAR04580,138.02154962999998
MAR04608_f,36.9233685
MAR04575_f,19.47139064
MAR04637_f,48.63596266
MAR04642,70.06299513
MAR04643,61.772774240000004
MAR04644_f,31.37529759
MAR04672,-1.0
MAR04676,124.50211245
MAR04736,45.38364523
MAR04819,51.71822427
MAR05299,124.50211245
MAR05352,124.50211245
MAR05415,31.24775572
