ID,Expression
MAR12470,28.27216296
MAR12926_f,1.14
MAR13001,44.04338818
MAR30000,109.69968453
MAR30002,81.04510891999999
temporary_exchange_MAM02039r_f,-1.0
temporary_exchange_MAM02039r_r,-1.0
temporary_exchange_MAM03402e,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02040c,-1.0
temporary_exchange_MAM03109r,-1.0
temporary_exchange_MAM02555r,-1.0
temporary_exchange_MAM02630r,-1.0
temporary_exchange_MAM02026r,-1.0
temporary_exchange_MAM10001c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM03403c,-1.0
temporary_exchange_MAM03106r,-1.0
temporary_exchange_MAM02040r,-1.0
temporary_exchange_MAM02554r,-1.0
temporary_exchange_MAM03759c,-1.0
temporary_exchange_MAM02026c,-1.0
