,reaction_expression
MAR03905,323.34964378999996
MAR03907,54.76774018
MAR04097,42.74989288
MAR04099,65.78275231
MAR04108,42.74989288
MAR04133,42.74989288
MAR04281,79.15927952
MAR04388,237.04111999999998
MAR04283,172.22885334
MAR08357,270.57139918
MAR04379,133.78144680999998
MAR04301,133.78144680999998
MAR04355,119.24033684
MAR04358,73.27166656
MAR04360,32.96416257
MAR04363,138.55300129
MAR04365,175.09178599
MAR04368,144.13329376000002
MAR04370,88.4112427
MAR04371,175.09178599
MAR04372,88.4112427
MAR04373,82.55597928
MAR04375,164.69141478
MAR04377,83.38089208
MAR04381,47.61849588
MAR04391,45.66134983
MAR04394,251.30725903
MAR04396,92.87547669
MAR04521,103.32437218000001
MAR06412,23.85777223
MAR07745,34.8080853
MAR07747,47.9419911
MAR08360,56.48226482
MAR08652,103.32437218000001
MAR08757,43.12191238
MAR03989,179.83099092
MAR04122,49.91531193
MAR04837,46.37303931
MAR05395,102.85530410999999
MAR05396,188.85650744
MAR09727,199.82299531
MAR05397,52.64884651
MAR05398,129.17164
MAR05399,38.51210555
MAR05400,38.51210555
MAR05401,129.17164
MAR08568,200.9067043
MAR08569,200.9067043
MAR08570,200.9067043
MAR08571,200.9067043
MAR08572,200.9067043
MAR08573,200.9067043
MAR08574,200.9067043
MAR08575,200.9067043
MAR08576,200.9067043
MAR08577,200.9067043
MAR08578,200.9067043
MAR08579,200.9067043
MAR08581,200.9067043
MAR08591,93.71656425
MAR08592,55.26915776
MAR08580,200.9067043
MAR08582,200.9067043
MAR08587,93.71656425
MAR08589,55.26915776
MAR08583,52.16360368
MAR08584,38.93264931
MAR08585,46.71270929
MAR03944,47.58614637
MAR04128,35.55212431
MAR04130,110.40891744000001
MAR04131,51.85628323
MAR04132,51.85628323
MAR04303,187.91837132
MAR04414,147.40059545000003
MAR04415,33.5302792
MAR04416,117.29936554
MAR04774,133.78144680999998
MAR04775,133.78144680999998
MAR04831,-1.0
MAR04832,33.5302792
MAR07674,158.39943282000002
MAR08761,38.10773651
MAR08762,164.69141478
MAR08764,39.09439694
MAR08766,81.87663932000001
MAR08767,51.85628323
MAR00454,-1.0
MAR04297,174.81681505999998
MAR04310,38.10773651
MAR04315,34.67868723
MAR04316,81.87663932000001
MAR04317,218.01960122000003
MAR04318,218.01960122000003
MAR04319,178.53701003999998
MAR04320,218.01960122000003
MAR04356,164.69141478
MAR04383,52.32535128
MAR04385,126.37340638
MAR04386,76.00520114
MAR04387,27.48091865
MAR04399,46.97150545
MAR04400,-1.0
MAR04401,35.45507575
MAR04402,-1.0
MAR04403,-1.0
MAR04490,178.53701003999998
MAR04706,174.81681505999998
MAR08768,-1.0
MAR04590,42.71754335
MAR04591,84.04405728
MAR04592,81.87663932000001
MAR04593,34.67868723
MAR04594,34.04787156
MAR04595,34.56546389
MAR08341,156.99222862
MAR08342,-1.0
MAR08344,54.76774018
MAR08352,40.06488259
MAR08353,-1.0
MAR08726,36.18293999
MAR08727,36.26381378
MAR08728,-1.0
MAR08729,40.1781059
MAR06537,54.76774018
MAR01568,172.22885334
MAR03853,84.86897008
MAR03854,81.87663932000001
MAR03855,81.87663932000001
MAR03857,110.60301455999999
MAR03859,79.56364851000001
MAR04087,52.43857462
MAR04089,114.48495716
MAR04091,52.43857462
MAR04093,37.33134799
MAR04095,37.33134799
MAR04101,37.81659082
MAR04103,36.61965853
MAR04143,54.29867211
MAR04193,73.27166656
MAR08497,156.99222862
MAR08498,43.12191238
MAR08499,43.12191238
MAR08500,156.99222862
MAR08501,34.12874535
MAR08502,290.38548122
MAR08503,343.81071622999997
MAR08504,270.57139918
MAR08506,270.57139918
MAR08507,323.34964378999996
MAR08508,323.34964378999996
MAR08509,156.99222862
