,reaction_expression
MAR03905,325.83961977999996
MAR03907,56.56408492
MAR04097,45.89235363
MAR04099,66.08264379
MAR04108,45.89235363
MAR04133,45.89235363
MAR04281,75.67938381
MAR04388,240.32895235
MAR04283,173.62085911999998
MAR08357,268.41554184
MAR04379,131.10984161
MAR04301,131.10984161
MAR04355,118.93312258
MAR04358,65.02719783
MAR04360,34.0674499
MAR04363,133.96345474
MAR04365,181.43897728000002
MAR04368,150.28377641
MAR04370,87.90692063
MAR04371,181.43897728000002
MAR04372,87.90692063
MAR04373,81.7384254
MAR04375,163.34003374
MAR04377,83.53659259
MAR04381,46.8109825
MAR04391,47.2605243
MAR04394,243.71028845
MAR04396,97.74602234
MAR04521,104.27415101
MAR06412,23.4348092
MAR07745,35.57243765
MAR07747,50.81776807
MAR08360,49.58641446
MAR08652,104.27415101
MAR08757,45.5600836
MAR03989,179.3476307
MAR04122,49.43005209
MAR04837,45.75553655
MAR05395,95.92830988
MAR05396,186.38393704
MAR09727,206.12468541
MAR05397,45.520993
MAR05398,131.36393044
MAR05399,40.59557856
MAR05400,40.59557856
MAR05401,131.36393044
MAR08568,191.12367117000002
MAR08569,191.12367117000002
MAR08570,191.12367117000002
MAR08571,191.12367117000002
MAR08572,191.12367117000002
MAR08573,191.12367117000002
MAR08574,191.12367117000002
MAR08575,191.12367117000002
MAR08576,191.12367117000002
MAR08577,191.12367117000002
MAR08578,191.12367117000002
MAR08579,191.12367117000002
MAR08581,191.12367117000002
MAR08591,96.02603636
MAR08592,52.63548055
MAR08580,191.12367117000002
MAR08582,191.12367117000002
MAR08587,96.02603636
MAR08589,52.63548055
MAR08583,53.39774707
MAR08584,39.03195494
MAR08585,48.5896044
MAR03944,48.82414794
MAR04128,33.81336107
MAR04130,116.2945077
MAR04131,49.01960089
MAR04132,49.01960089
MAR04303,187.69347185
MAR04414,146.82425913999998
MAR04415,39.05150023
MAR04416,122.76400047999999
MAR04774,131.10984161
MAR04775,131.10984161
MAR04831,-1.0
MAR04832,39.05150023
MAR07674,164.16093612999998
MAR08761,38.58241314
MAR08762,163.34003374
MAR08764,42.47192692
MAR08766,88.46200703
MAR08767,49.01960089
