ID,Flux
MAR04365_f,2.0
MAR04373_f,2.0
MAR04375_f,1.0
MAR04377,1.0
MAR04381_f,1.0
MAR04521,1.0
MAR04103,2.0
MAR04143,2.0
MAR03899_f,2.0
MAR04926,2.0
MAR04856_f,1.0
MAR04363_r,2.0
MAR04368_r,2.0
MAR04391_r,1.0
MAR04971_r,2.0
MAR05027_r,1.0
temporary_exchange_MAM01307[c],2.0
temporary_exchange_MAM01306[c],2.0
temporary_exchange_MAM01587[c],2.0
temporary_exchange_MAM02553[c],2.0
temporary_exchange_MAM02034[m],2.0
temporary_exchange_MAM02046[m],2.0
temporary_exchange_MAM01371[m],2.0
temporary_exchange_MAM01371[c],2.0
temporary_exchange_MAM02040[c],3.0
temporary_exchange_MAM02040[r],1.0
temporary_exchange_MAM02039[c],4.0
temporary_exchange_MAM01965[c],1.0
temporary_exchange_MAM01974[c],2.0
temporary_exchange_MAM01587[m],2.0
temporary_exchange_MAM02552[c],2.0
temporary_exchange_MAM01948[m],2.0
temporary_exchange_MAM01596[m],2.0
temporary_exchange_MAM01285[m],2.0
temporary_exchange_MAM01285[c],2.0
temporary_exchange_MAM02039[m],4.0
temporary_exchange_MAM02751[m],2.0
temporary_exchange_MAM02751[c],3.0
temporary_exchange_MAM02751[r],1.0
